Name,Breakpoint_gene,gene_type,TMM,ATRX_STATE,DAXX_STATE,CLASS
GM847,LINC-PINT ,pseudogene,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
GM847,LOC100506860-LINC-PINT.2 ,Intergenic,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
GM847,MKLN1 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
IIICF_T_A6,TSPAN5 ,Intergenic ,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
IIICF_T_B1,LINC00901-LOC105374060 ,protein_coding ,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
IIICF_T_B3,NAALADL2 ,Integenic,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
IIICF_T_C4,GH1 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_P_pLKO_5,CDC42SE2 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_P_pLKO_5,E2F7 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_D,LIN28B ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_L,DOCK2 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_L,RARS ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_L,ZNF827 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_M,MACF1 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_P_ALT,CDC42SE2 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_P_ALT,E2F7 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_P_ALT,GH1 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_P_ALT,ZNF827 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_Q,NFYC ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1_R,LINC01037-BRINP3 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1J_1_3C,ADGRL4-LOC101927412 ,intergenic,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_1J_11E,ADGRL4-LOC101927412 ,Intergenic,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
