Mortal	Immortal	TMM	WestATRX	WestDAXX	SWATH
GM02063	GM847	ALT	Neg	Pos	yes
IIICF	IIICF_402DE_D2	ALT	Pos	Pos	No
IIICF	IIICF_a2	ALT	Neg	Pos	yes
IIICF	IIICF_c	ALT	Neg	Pos	yes
IIICF	IIICF_d2	ALT	Pos	Pos	No
IIICF	IIICF_E6_A1	ALT	Pos	Pos	No
IIICF	IIICF_E6_A2	ALT	Neg	Pos	No
IIICF	IIICF_E6E7_A1	ALT	Pos	Pos	No
IIICF_E6E7_C4_pre	IIICF_E6E7_C4_post	ALT	Pos	Pos	yes
IIICF	IIICF_T_A6	ALT	Neg	Pos	yes
IIICF	IIICF_T_B1	ALT	Neg	Pos	yes
IIICF	IIICF_T_B3	ALT	Neg	Pos	yes
IIICF	IIICF_T_C3	ALT	Pos	Pos	No
IIICF	IIICF_T_C4	ALT	Neg	Pos	No
IVG_BF_LXSN_pre	IVG_BF_LXSN_post	ALT	Pos	Neg	yes
JFCF_6	JFCF_6_P_pLKO_5	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_C	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1_D	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_F	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1_G	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1_H	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1_L	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_M	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_P_ALT	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_P_TEL	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1_Q	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1_R	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1J_1_3C	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1J_11C	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_1J_11E	ALT	Neg	Pos	yes
JFCF_6	JFCF_6_T_1J_6B	TEL	Pos	Pos	yes
JFCF_6	JFCF_6_T_2H	TEL	Truncated	Pos	yes
JFCF_6	JFCF_6_T_5K	ALT	Neg	Pos	yes
LFS_05F_24_pre	LFS_05F_24_post	ALT	Pos	Pos	yes
MeT_4A_pre	MeT_4A_post	ALT	Pos	Pos	yes
WI38	VA13	ALT	Neg	Pos	yes
