Sample	Chromosome	Start_Position.bp.	End_Position.bp.	Length.snp.	Median_Ratio	Median_logR	TITAN_state	TITAN_call	Copy_Number	MinorCN	MajorCN	Clonal_Cluster	Cellular_Prevalence	logR_Copy_Number	Corrected_Ratio	Corrected_Copy_Number	Corrected_Call	Corrected_MajorCN	Corrected_MinorCN
IIICF_a2	chr1	820979	31049848	18236	0.64	0.133573	3	HET	2	1	1	NA	NA	2.19662413015341	0.641714598905888	2	NEUT	1	1
IIICF_a2	chr1	31060136	31069766	39	0.590909	0.448152	5	GAIN	3	1	2	1	1	2.73838343378294	0.591802105735449	3	GAIN	2	1
IIICF_a2	chr1	31070301	41988634	5905	0.647059	0.195675	3	HET	2	1	1	NA	NA	2.2944275782484	0.648783278888998	2	NEUT	1	1
IIICF_a2	chr1	41990795	42063107	69	0.666667	0.366662	5	GAIN	3	1	2	1	1	2.58651690527237	0.668400502824364	3	GAIN	2	1
IIICF_a2	chr1	42080912	42379053	95	0.633333	0.290177	3	HET	2	1	1	NA	NA	2.45157416090573	0.63479612985519	2	NEUT	1	1
IIICF_a2	chr1	42380576	42608400	174	0.653846	0.399033	5	GAIN	3	1	2	1	1	2.64581928141416	0.65541028646886	3	GAIN	2	1
IIICF_a2	chr1	42612008	42949804	185	0.636364	0.271021	3	HET	2	1	1	NA	NA	2.41888264779204	0.637880614450222	2	NEUT	1	1
IIICF_a2	chr1	42950208	43052732	118	0.652174	0.382991	5	GAIN	3	1	2	1	1	2.61626466154665	0.653738764692194	3	GAIN	2	1
IIICF_a2	chr1	43054259	49093701	2138	0.654509	0.241024	3	HET	2	1	1	NA	NA	2.36855410152906	0.656263933762288	2	NEUT	1	1
IIICF_a2	chr1	49099340	50799584	110	0.644009	0.360631	5	GAIN	3	1	2	1	1	2.57561464773773	0.645513177212308	3	GAIN	2	1
IIICF_a2	chr1	50800515	54339727	649	0.65625	0.277149	3	HET	2	1	1	NA	NA	2.4292934735335	0.657980335425436	2	NEUT	1	1
IIICF_a2	chr1	54340300	54358595	37	0.583333	0.556383	5	GAIN	3	1	2	1	1	2.95381502019702	0.584091968897434	3	GAIN	2	1
