Sample	Chromosome	Start_Position.bp.	End_Position.bp.	Length.snp.	Median_Ratio	Median_logR	TITAN_state	TITAN_call	Copy_Number	MinorCN	MajorCN	Clonal_Cluster	Cellular_Prevalence	logR_Copy_Number	Corrected_Ratio	Corrected_Copy_Number	Corrected_Call	Corrected_MajorCN	Corrected_MinorCN
JFCF_6_T_1_F	chr1	821038	824970	11	0.722222	-0.000642	3	HET	2	1	1	NA	NA	1.99908898313944	0.727522430033062	2	NEUT	1	1
JFCF_6_T_1_F	chr1	825016	825076	8	0.9333	-0.000642	2	NLOH	2	0	2	1	1	1.99908898313944	0.94363505383502	2	NEUT	2	0
JFCF_6_T_1_F	chr1	825193	16139916	11021	0.571429	-0.073873	3	HET	2	1	1	NA	NA	1.89778792617998	0.573223663667557	2	NEUT	1	1
JFCF_6_T_1_F	chr1	16140272	16178917	41	0.5625	0.367203	5	GAIN	3	1	2	1	1	2.59352013190059	0.563649070231762	3	GAIN	2	1
JFCF_6_T_1_F	chr1	16181979	26599542	7389	0.571429	-0.001679	3	HET	2	1	1	NA	NA	1.99761830568703	0.573133975885607	2	NEUT	1	1
JFCF_6_T_1_F	chr1	26600483	26609093	11	0.590909	-1.195548	1	DLOH	1	0	1	1	1	0.846377972702423	0.596030518058054	1	HETD	1	0
JFCF_6_T_1_F	chr1	26610030	39369652	8171	0.571429	0.005548	3	HET	2	1	1	NA	NA	2.00788968730341	0.57312525406285	2	NEUT	1	1
JFCF_6_T_1_F	chr1	39370048	39379976	14	0.558471	0.427504	5	GAIN	3	1	2	1	1	2.70625531212382	0.559501215157169	3	GAIN	2	1
JFCF_6_T_1_F	chr1	39380307	39428028	51	0.571429	0.130788	3	HET	2	1	1	NA	NA	2.19430777305381	0.572981148281872	2	NEUT	1	1
JFCF_6_T_1_F	chr1	39430038	39459720	46	0.571429	0.314362	5	GAIN	3	1	2	1	1	2.49853206024133	0.57279215682878	3	GAIN	2	1
JFCF_6_T_1_F	chr1	39460418	45378752	4199	0.566667	0.055801	3	HET	2	1	1	NA	NA	2.08075249580715	0.568194730215285	2	NEUT	1	1
JFCF_6_T_1_F	chr1	45380077	45388132	17	0.62069	0.547245	5	GAIN	3	1	2	1	1	2.94458046810882	0.622644357637065	3	GAIN	2	1
JFCF_6_T_1_F	chr1	45391661	53259930	3102	0.571429	0.033542	3	HET	2	1	1	NA	NA	2.04816541690143	0.57309189842204	2	NEUT	1	1
JFCF_6_T_1_F	chr1	53260537	53268313	5	0.548387	1.197044	11	UBCNA	5	2	3	1	1	4.64702708110168	0.548883489048369	5	HLAMP	3	2
JFCF_6_T_1_F	chr1	53270010	72289671	12572	0.571429	0.004948	3	HET	2	1	1	NA	NA	2.00703497673772	0.573125976425084	2	NEUT	1	1
JFCF_6_T_1_F	chr1	72291196	72381596	54	0.925824	-0.9522	1	DLOH	1	0	1	1	1	1.01064947769432	0.945914269345512	1	HETD	1	0
JFCF_6_T_1_F	chr1	72400491	93219907	13626	0.571429	0.018197	3	HET	2	1	1	NA	NA	2.02599139617606	0.573110098471727	2	NEUT	1	1
JFCF_6_T_1_F	chr1	93220532	93238524	32	0.576037	0.379911	5	GAIN	3	1	2	1	1	2.61688796736011	0.577422466481374	3	GAIN	2	1
JFCF_6_T_1_F	chr1	93240404	94669168	823	0.571429	0.116986	3	HET	2	1	1	NA	NA	2.17296133605186	0.572996396061465	2	NEUT	1	1
JFCF_6_T_1_F	chr1	94672800	94712081	33	0.578947	0.300452	5	GAIN	3	1	2	1	1	2.47410025522392	0.580468508970694	3	GAIN	2	1
